City,Country,Year,Semester,Major,Second major,Program,Term,Gender,ID
Amman,Jordan,2016,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2016 ,Female,0
Amman,Jordan,2017,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2017 ,Female,1
Amman,Jordan,2018,Fall,International Relations,,CIEE - University of Jordan: Arabic Language,Fall 2018 ,Male,2
Amman,Jordan,2018,Fall,Anthropology,International Relations,Middlebury College - University of Jordan,Fall 2018 ,Female,3
Amman,Jordan,2018,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2018 ,Female,4
Amman,Jordan,2017,Spring,International Relations,,CIEE - University of Jordan: Language and Culture,Spring 2017 ,Female,5
Amsterdam,The Netherlands,2016,Fall,History,Middle East Studies,CIEE - University of Amsterdam,Fall 2016 ,Female,6
Amsterdam,The Netherlands,2016,Fall,None,,CIEE - University of Amsterdam,Fall 2016 ,Female,7
Amsterdam,The Netherlands,2016,Fall,Urban Studies,Geography,CIEE - University of Amsterdam,Fall 2016 ,Male,8
Amsterdam,The Netherlands,2017,Fall,International Relations,,CIEE - University of Amsterdam,Fall 2017 ,Male,9
Amsterdam,The Netherlands,2017,Fall,Business (General),,CIEE - University of Amsterdam,Fall 2017 ,Female,10
Amsterdam,The Netherlands,2017,Fall,Political Science,,CIEE - University of Amsterdam,Fall 2017 ,Female,11
Amsterdam,The Netherlands,2017,Spring,Sociology,Economics,CIEE - University of Amsterdam,Spring 2017 ,Male,12
Amsterdam,The Netherlands,2017,Spring,Computer Science,,CIEE - University of Amsterdam,Spring 2017 ,Male,13
Amsterdam,The Netherlands,2017,Spring,Economics,Sociology,CIEE - University of Amsterdam,Spring 2017 ,Female,14
Amsterdam,The Netherlands,2017,Spring,Economics,,CIEE - University of Amsterdam,Spring 2017 ,Female,15
Amsterdam,The Netherlands,2017,Spring,International Relations,,CIEE - University of Amsterdam,Spring 2017 ,Female,16
Amsterdam,The Netherlands,2018,Spring,Gender and Sexuality Studies,,CIEE - University of Amsterdam,Spring 2018 ,Female,17
Amsterdam,The Netherlands,2018,Spring,Sociology,,CIEE - University of Amsterdam,Spring 2018 ,Female,18
Amsterdam,The Netherlands,2018,Spring,Psychology,,CIEE - University of Amsterdam,Spring 2018 ,Female,19
Amsterdam,The Netherlands,2018,Spring,Yes,,CIEE - University of Amsterdam,Spring 2018 ,Male,20
Amsterdam,The Netherlands,2018,Spring,None,Psychology,CIEE - University of Amsterdam,Spring 2018 ,Female,21
Arusha,Tanzania,2018,Fall,None,,SIT - Tanzania-Wildlife Ecology and Conservation,Fall 2018 ,Male,22
