City,Country,Year,Semester,Major,Second major,Program,Term,Gender
Amman,Jordan,2016,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2016 ,Female
Amman,Jordan,2017,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2017 ,Female
Amman,Jordan,2018,Fall,International Relations,,CIEE - University of Jordan: Arabic Language,Fall 2018 ,Male
Amman,Jordan,2018,Fall,Anthropology,International Relations,Middlebury College - University of Jordan,Fall 2018 ,Female
Amman,Jordan,2018,Fall,International Relations,,Middlebury College - University of Jordan,Fall 2018 ,Female
Amman,Jordan,2017,Spring,International Relations,,CIEE - University of Jordan: Language and Culture,Spring 2017 ,Female
Amsterdam,The Netherlands,2016,Fall,History,Middle East Studies,CIEE - University of Amsterdam,Fall 2016 ,Female
Amsterdam,The Netherlands,2016,Fall,None,,CIEE - University of Amsterdam,Fall 2016 ,Female
Amsterdam,The Netherlands,2016,Fall,Urban Studies,Geography,CIEE - University of Amsterdam,Fall 2016 ,Male
Amsterdam,The Netherlands,2017,Fall,International Relations,,CIEE - University of Amsterdam,Fall 2017 ,Male
Amsterdam,The Netherlands,2017,Fall,Business (General),,CIEE - University of Amsterdam,Fall 2017 ,Female
Amsterdam,The Netherlands,2017,Fall,Political Science,,CIEE - University of Amsterdam,Fall 2017 ,Female
Amsterdam,The Netherlands,2017,Spring,Sociology,Economics,CIEE - University of Amsterdam,Spring 2017 ,Male
Amsterdam,The Netherlands,2017,Spring,Computer Science,,CIEE - University of Amsterdam,Spring 2017 ,Male
Amsterdam,The Netherlands,2017,Spring,Economics,Sociology,CIEE - University of Amsterdam,Spring 2017 ,Female
Amsterdam,The Netherlands,2017,Spring,Economics,,CIEE - University of Amsterdam,Spring 2017 ,Female
Amsterdam,The Netherlands,2017,Spring,International Relations,,CIEE - University of Amsterdam,Spring 2017 ,Female
Amsterdam,The Netherlands,2018,Spring,Gender and Sexuality Studies,,CIEE - University of Amsterdam,Spring 2018 ,Female
Amsterdam,The Netherlands,2018,Spring,Sociology,,CIEE - University of Amsterdam,Spring 2018 ,Female
Amsterdam,The Netherlands,2018,Spring,Psychology,,CIEE - University of Amsterdam,Spring 2018 ,Female
Amsterdam,The Netherlands,2018,Spring,Yes,,CIEE - University of Amsterdam,Spring 2018 ,Male
Amsterdam,The Netherlands,2018,Spring,None,Psychology,CIEE - University of Amsterdam,Spring 2018 ,Female
Arusha,Tanzania,2018,Fall,None,,SIT - Tanzania-Wildlife Ecology and Conservation,Fall 2018 ,Male
Arusha,Tanzania,2018,Spring,Biology,,SIT - Tanzania-Wildlife Ecology and Conservation,Spring 2018 ,Female
Atenas,Costa Rica,2016,Fall,Development Studies,,SFS - Sustainable Development Studies,Fall 2016 ,Male
Atenas,Costa Rica,2017,Spring,Biology,,SFS - Sustainable Development Studies,Spring 2017 ,Female
